"","V1"
"1",24.461616786084
"2",23.8461488057629
"3",23.7001857417451
"4",23.4773593086375
"5",23.3854699833806
"6",23.3561282583609
"7",23.327292459037
"8",23.2770001312172
"9",23.252959819538
"10",23.2395660091485
"11",23.4626883231331
"12",23.3679736285111
"13",23.335008241389
"14",23.3278361815212
"15",23.4108614219518
"16",23.4764429926688
"17",23.2746663457894
"18",23.4610878826047
"19",23.4250194015797
"20",23.3566059726007
"21",23.3771419345856
"22",23.2705528732199
"23",23.396653130301
"24",23.3946607396004
"25",23.3742850454217
"26",23.3978809466375
"27",23.356926535277
"28",23.374111528512
"29",23.4091891875878
"30",23.424884125764
"31",23.2962052248057
"32",23.2970576844304
"33",23.425160692707
"34",23.4652904522889
"35",23.388696897541
"36",23.4972985346852
"37",23.3915738469141
"38",23.5946661878919
"39",23.4933896188265
"40",23.320683662855
"41",23.646125618546
"42",23.5242681192869
